yes,staple,not_vegan,gluten,sweetener,cuisine,flavor,season,flavoring_sweet,flavoring_fresh,flavoring_wet,flavoring_concentrate,flavoring,flavoring_dry,protein,protein_cheese_sub,protein_milk_sub,protein_meat_sub,protein_bean,veg,veg_leafy,grain,grain_flour,fat_oil,oil,fat,fruit,fruit_berry,meal,salad,salad_green,salad_extra,salad_dressing,salad_dressing_oil,salad_dressing_salt,salad_dressing_pepper,salad_dressing_garlic,salad_dressing_vinegar,method,protein_nut_seed,protein_nut,protein_seed,salad_extra_tomato,salad_extra_olive,salad_extra_cheese,salad_extra_crouton,salad_extra_egg,salad_extra_other,redirect,salad_basic,salad_starter,salad_umbrella,umbrella_that_pairs,useful_umbrella,salad_allium,name,pairs_with,phonetic,flavor,techniques,dishes,volume,tip,possible_substitutes,flavor_affinities,nutritional_profile,calories,season,botanical_relatives,protein,what_they_are,brands,vegan_substitutes,vegan_brands
y,y,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,y,,y,,,,,,,,,,,,,,,,,,y,,y,y,,,"BERRIES—IN GENERAL, or MIXED BERRIES (see also SPECIFIC BERRIES, e.g., BLACKBERRIES, BLUEBERRIES, RASPBERRIES, STRAWBERRIES)","almonds

apricots

basil

cereals, breakfast

chamomile

cheese, e.g., cream, ricotta

chocolate, e.g., dark, milk, white

cinnamon

cream and crème fraîche

desserts, e.g., tarts, trifles

elderflower syrup

ginger

granola

honey

lemon

lime

liqueurs, e.g., crème de cassis, crème de menthe, Grand Marnier, Kirsch

maple syrup

mascarpone

meringue

mint

nectarines

orange

peaches

pepper, black

pie fillings

puddings, e.g., summer

salads, fruit

seeds, e.g., poppy

smoothies

sour cream

sugar, e.g., brown

vanilla

vinegar, e.g., balsamic

wine, e.g., sparkling, sweet, e.g., Moscato d’Asti

yogurt",,Flavor: sweet/sour,"Techniques: poach, raw","Dishes


Warm Three Berry-Ginger Pie with Walnut Oat Crumb Topping, Multi-Grain Crust (Organic Spelt, Oat, Barley, and Brown Rice Flours), and Non-Dairy, Low-Fat Vanilla Soy Ice Cream

—Josie’s (New York City)",Volume: quiet–moderate,,,"Flavor Affinities


berries + honey + yogurt",,,Season: spring–summer,,,,,,
y,y,,,,,,,,,,,,,,,,,,y,y,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,y,,y,y,,,"CABBAGE, IN GENERAL, or MIXED CABBAGES","APPLES, APPLE JUICE, and APPLE CIDER

bell peppers

butter and brown butter

CARAWAY SEEDS

CARROTS

celery

cheese, e.g., blue, cheddar, feta, Parmesan

cilantro

cole slaw

cream

dill

garlic

ginger

horseradish

juniper berries

leeks

lemon, e.g., juice, zest

lime, e.g., juice

mushrooms

mustard, e.g., Dijon, dry, prepared; mustard seeds

nutmeg

OIL, e.g., flax seed, hemp, mustard, nut, OLIVE, safflower, sesame, vegetable, walnut

onions, e.g., green, red, white

parsley

pepper, e.g., black, white

POTATOES

rice

salads

salt, e.g., kosher, sea, smoked

seeds, e.g., hemp, poppy, sesame, sunflower

sesame, e.g., oil, seeds

SLAWS

soups

soy sauce

stuffed cabbage

turnips

VINEGAR, e.g., apple cider, champagne, rice wine, sherry, wine",,"Flavor: bitter/sweet, with pungent and/or peppery notes, and a crunchy texture","Techniques: bake, boil, braise, grate, pickle, pressure-cook (3–4 minutes), raw, sauté, shred, simmer, steam (6–8 minutes), stir-fry (2–4 minutes), stuff, tempura-fry (Better cooked than raw, but overcooking brings out its pungent, sulphuric notes.)",,Volume: quiet–moderate,Tip: Red cabbage’s firmer texture makes it a bit slower to cook than green cabbage.,,"Flavor Affinities


cabbage + arame + sesame seeds + sesame oil

cabbage + brown rice + pine nuts + tomatoes

cabbage + caraway seeds + garlic + sea salt

cabbage + caraway seeds + lemon + safflower oil

cabbage + carrots + cider vinegar + mayonnaise + mustard

cabbage + carrots + ginger + mint + rice wine vinegar + sesame oil

cabbage + cream + nutmeg

cabbage + ginger + lime

cabbage + ginger + soy sauce

cabbage + mirin + sesame oil + umeboshi paste

cabbage + potatoes + turnips",Nutritional profile: 85% carbs / 12% protein / 3% fat,"Calories: 25 per 1-cup serving (raw, chopped)",Season: autumn–winter,"Botanical relatives: broccoli, Brussels sprouts, cauliflower, collard greens, horseradish, kale, kohlrabi, land cress, radishes, rutabagas, turnips, watercress",Protein: 1 gram,,,,
y,y,,,,,,,,,,,,,,,,,,y,y,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,y,,y,y,,,"GREENS—IN GENERAL OR MIXED (see also ARUGULA; BOK CHOY; CABBAGE; CHARD, SWISS; GREENS, BEET; GREENS, BITTER; GREENS, COLLARD; GREENS, DANDELION; GREENS, SALAD; GREENS, TURNIP; KALE; LETTUCE; and SPINACH)","arugula

basil

beans, e.g., white

butter

cheese, e.g., Asiago, feta, goat, Monterey Jack, mozzarella, Parmesan, Swiss

chiles, chili pepper flakes, and chili pepper sauce

eggs, e.g., frittatas, omelets, quiches

GARLIC

ginger

grains, e.g., quinoa, rice, spelt

lemon

mushrooms

mustard

nuts, e.g., walnuts

OIL, OLIVE

onions, e.g., green, red

pastas

pepper, black

potatoes, e.g., new, red

salads

salt, e.g., kosher, sea

sandwiches

seeds, e.g., caraway, celery, sesame

smoothies

soups, e.g., bean, lentil

soy sauce

stews

stock, vegetable

veggie burgers

VINEGAR, e.g., balsamic, red wine",,,"Techniques: blanch, boil, braise, raw, sauté, steam, stir-fry",,,Tip: Cook quickly to retain nutrients.,,,,,,,,"What they are: green, leafy vegetable",,,
y,y,,,,,,,,,,,,,,,,,,y,y,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,y,,y,y,y,,"GREENS, SALAD—IN GENERAL AND MIXED (e.g., MESCLUN) (see also ARUGULA, ENDIVE, ESCAROLE, FRISÉE, LETTUCE, MCHE, MIZUNA, RADICCHIO, SALAD DRESSINGS, SPINACH, WATERCRESS, etc.)","almonds

anise seeds

apples

avocados

basil

beets

blackberries

capers

celery

cheese, e.g., blue, Brie, goat, Gorgonzola

chervil

chives

cilantro

cranberries, dried

croutons

dill

fennel

garlic

hazelnuts

honey

lemon, e.g., juice

lentils

mâche

mangoes

marjoram

mint

mustard, e.g., Dijon, dry

nuts

oil, e.g., flaxseed, grapeseed, olive

onions, red

oranges, e.g., blood

parsley

pears

pepper, e.g., black

pine nuts

pistachios

potatoes, e.g., new

radishes

rice

SALADS, e.g., grain, green, potato

salt, e.g., sea

savory

sesame seeds

shallots

tamari

tarragon

thyme

tofu

veggie burgers

vinegar, e.g., balsamic, red wine, sherry, white wine

walnuts",,,,"Dishes


Orchard Salad: Mesclun Lettuces, Seasonal Fruit, Toasted Pecans, Dried Bing Cherries, and Sourdough Croutons, tossed in a Rosemary Vinaigrette

—Angelica Kitchen (New York City)



Mesclun Greens, Green Olives, Toasted Almonds, Lemon-Caper Vinaigrette

—True Bistro (Somerville, MA)",,"Tip: Rinse well, and serve raw.",,"Flavor Affinities


mesclun greens + apples + celery + hazelnuts

mesclun greens + avocado + cilantro

mesclun greens + balsamic vinegar + garlic + mustard + olive oil

mesclun greens + blue cheese + pears

mesclun greens + goat cheese + pecans

mesclun greens + goat cheese + strawberries

mesclun greens + lentils + rice",,,,,,"What they are: encompasses all greens that may be served raw in salads, including lettuces (which are almost always best served raw)",,,
y,y,,,,,,,,,,,,,,,,,,y,y,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,y,,y,y,,,"LETTUCES—IN GENERAL OR MIXED (see also specific LETTUCES, e.g., LETTUCE, BUTTER; LETTUCE, ROMAINE)","arugula

avocado

carrots

cashews

celery

CHEESE, e.g., blue, feta, Parmesan, pecorino

citrus, e.g., juice

cucumbers

eggs

fennel

garlic

ginger

greens, e.g., baby, other, salad

jícama

leeks

lemon, e.g., juice

lettuce wraps, e.g., around vegetables, firm tofu, etc.

mint

mushrooms, e.g., shiitake

mustard

OIL, e.g., hazelnut, nut, olive, peanut, walnut

olives, Greek

onions, e.g., spring

pears

peas

pepper, black

pine nuts

pomegranate seeds

radishes

rice

SALAD DRESSINGS, e.g., vinaigrettes

SALADS

salt

scallions

shallots

soups, e.g., lettuce, pea

tofu

tomatoes

vinaigrettes

vinegar, e.g., balsamic, cider, red wine

walnuts",,Flavor: slightly sweet/bitter,Techniques: best served raw,"Dishes


Sucrine Lettuce: Blue Hill Farm Yogurt, Hazelnuts, and Asparagus

—Blue Hill (New York City)



Greenhouse Head Lettuce: Homemade Yogurt, Peas, and Fava Beans

—Blue Hill (New York City)



Avocado Lettuce Salad with Ginger-Carrot Dressing

—Hangawi (New York City)



Spicy Thai Lettuce Wraps: Mango, Carrots, Cabbage, Cashews, Basil, Mint, Cilantro, Pea Shoots, Tamarind Sauce

—Pure Food and Wine (New York City)",Volume: quiet–loud (depending on the type),"Tips: Nutritionally, opt for butter, romaine, and other green and red lettuces. Beware fat-laden salad dressings. Consider using crisp whole lettuce leaves, in lieu of taco shells, for wrapping around fillings.",,,,,Season: spring–autumn,"Botanical relatives: artichokes, chamomile, chicory, dandelion greens, endive, radicchio, salsify, tarragon",,,,,
y,y,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,y,,,,,,,,,,,,,,,,,,y,,y,y,,,"MELON—IN GENERAL, or MIXED (see also MELON, CANTALOUPE; MELON, HONEYDEW; WATERMELON; etc.)","arugula

bananas

basil

bell peppers

berries, e.g., blackberries, raspberries, strawberries

chiles

cilantro

coconut and coconut milk

cucumber

desserts

garlic

GINGER

granitas

grapes

honey

LEMON

lemongrass

LIME

mint

onions, e.g., red

oranges

pears

pepper, e.g., black, white

rum

salads, e.g., fruit

salsas

soups, fruit

Thai basil

tomatoes

vanilla

wine, e.g., sparkling, e.g., Champagne, and/or sweet, e.g., Moscato d’Asti, port

yogurt",,"Flavor: sweet, with a juicy texture",,,Volume: quiet–moderate,,,"Flavor Affinities


melon + berries + lemon

melon + chiles + cilantro + garlic + lime + onions

melon + honey + lime

melon + lime + mint",,,Season: summer–autumn,"Botanical relatives: cucumbers, pumpkins, squashes",,,,,
y,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,y,,,,,,y,,y,y,,,"OLIVES—IN GENERAL, or MIXED","almonds

artichokes, e.g., globe, Jerusalem

arugula

asparagus

avocados

baked goods, e.g., breads, focaccia

basil

bay leaf

beans, e.g., black, cannellini, fava, green

bell peppers, esp. roasted

breads

CAPERS

caponata

cauliflower

chard, Swiss

CHEESE, e.g., feta, kasseri, Parmesan

chickpeas

chiles, e.g., jalapeño, and chili pepper flakes

cilantro

citrus

coriander

couscous

cumin

dips

eggplant

eggs, e.g., deviled, frittatas, hard-boiled, soft-boiled

endive

fennel

figs

GARLIC

grains

Greek cuisine

greens, e.g., salad

herbs

hummus

kale

leeks

LEMON, e.g., juice, zest

mayonnaise

Mediterranean cuisines

Moroccan cuisine

muffulettas

mushrooms

nuts

OIL, OLIVE

onions, e.g., red

ORANGE, e.g., juice, zest

oregano

paprika

parsley

PASTAS, e.g., linguini, spaghetti

pepper, e.g., black, white

pesto

pine nuts

PIZZA

polenta

potatoes, e.g., new

Provençal cuisine

rice

risottos

ROSEMARY

SALADS, e.g., bean, chopped, grain, Greek, niçoise, pasta

salsas

salt, e.g., kosher, sea

sandwiches

SAUCES, e.g., pasta, puttanesca (vegetarian)

spinach

spreads

TAPENADES

thyme

TOMATOES and sun-dried tomatoes

vegetables, roasted

vinegar, e.g., red wine, sherry

walnuts

zucchini",,"Flavor: bitter, salty, and/or sour",,,Volume: quiet/moderate–loud (depending on the type),,,"Flavor Affinities


olives + arugula + figs + Parmesan cheese

olives + asparagus + basil

olives + basil + tofu + tomatoes

olives + beets + feta cheese

olives + beets + olives + orange

olives + capers + garlic + onions + oregano + tomatoes

olives + capers + lemon juice + olive oil

olives + capers + tomatoes

olives + chili pepper flakes + garlic + lemon + rosemary

olives + fennel + orange

olives + feta cheese + garlic + spinach

olives + garlic + lemon + rosemary

olives + herbs + lemon

olives + orange + parsley + pine nuts

olives + pasta + pine nuts + tomatoes",Nutritional profile: 88% fat / 10% carbs / 2% protein (and high in sodium),Calories: 4 per olive,,,,,,,
y,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,y,,y,y,,y,"ONIONS—IN GENERAL, or MIXED","APPLES, e.g., cider, fruit, juice

arame

arugula

avocado

barley and pearl barley

basil

bay leaf

BEANS, e.g., black, green, kidney, pinto, white

beets

bell peppers

black-eyed peas

breadcrumbs

breads, e.g., focaccia

butter

caramelized onions

cardamom

CARROTS

casseroles

cauliflower

cayenne

CELERY

celery seeds

chard

CHEESE, e.g., blue, cheddar, chèvre, Comté, Emmentaler, feta, goat, Gouda, GRUYÈRE, nondairy, Parmesan, pecorino, Swiss

chestnuts

chickpeas

chiles

chili, vegetarian

cinnamon

cloves

compotes

confit

coriander

corn

couscous

cream

crème fraîche

croutons

curries

curry powder

dates

dill

dips

eggplant

EGGS, e.g., frittatas, hard-boiled, omelets, quiches

fennel and fennel seeds

figs

French cuisine, e.g., soups, tarts

frisée

GARLIC

grains, whole

gravies

greens, e.g., bitter (e.g., collard) or salad

honey

kale

lemon, e.g., juice, zest

LENTILS

Madeira

marjoram

milk

mint

miso

MUSHROOMS, e.g., porcini

mustard, Dijon

nutmeg

OIL, e.g., OLIVE

olives

oregano

PARSLEY

parsnips

pastas, e.g., ziti

PEPPER, e.g., black, white

pies

pine nuts

pizza

polenta

poppy seeds

potatoes

pumpkin

quinoa

raisins

relishes

RICE, e.g., Arborio, brown, wild

risottos

ROSEMARY

sage

salad dressings

SALADS

salt, e.g., kosher, sea

sandwiches

sauces

savory

shallots

sherry

sorrel

SOUPS, e.g., onion, vegetable

soy sauce

spinach

squash, e.g., spaghetti

stews

STOCKS, e.g., vegetable

stuffed onions, e.g., with cheese, herbs, and/or rice

sugar (i.e., a pinch)

sumac

sweet potatoes

tahini

tamari

tarts, onion

THYME

TOMATOES and tomato paste

vegetables, e.g., root

veggie burgers

VINEGAR, e.g., balsamic, red wine, sherry, tarragon, white balsamic

walnuts

WINE, e.g., dry red or white

yogurt

zucchini",,"Flavor: sweet (and sweeter, when caramelized), with pungent notes","Techniques: bake (60–90 minutes), boil, braise, broil, caramelize, deep-fry, fry, grill, pickle, pressure-cook, roast, sauté, steam, stir-fry","Dishes


Red Wine Braised Heirloom Onions: Arrowleaf Spinach, Broccolini, Cauliflower “Florettes,” Meyer Lemon, and Preserved Horseradish

—Per Se (New York City)



Onion Pie: Cranberry, Radish Chow-Chow, Bourbon Glaze

—Rowland’s at Westglow (Blowing Rock, NC)



French Onion Soup au Gratin: Caramelized Onions, Croutons, Swiss au Gratin in Veggie Stock

—Table Verte (New York City)",Volume: quieter (cooked)–louder (raw),Tips: Onions increase appetite and pair well with virtually all savory foods.,,"Flavor Affinities


onions + arugula + chèvre cheese + figs

onions + avocado + garlic + salads

onions + bell peppers + potatoes

onions + bitter greens + soy sauce

onions + black pepper + nutmeg + Swiss cheese

onions + black pepper + oil + tomato paste + vegetable stock

onions + blue cheese + walnuts

*ONIONS + CARROTS + CELERY

onions + cheese + croutons + garlic + vegetable stock

onions + cream + Dijon mustard

onions + feta cheese + olives

onions + garlic + mint + white balsamic vinegar

onions + lemon + parsley

onions + parsley + tamari

onions + rosemary + vinegar

onions + thyme + vinegar",Nutritional profile: 90% carbs (high in sugars) / 8% protein / 2% fats,Calories: 65 per 1-cup serving (raw),"Season: year-round, esp. autumn","Botanical relatives: asparagus, chives, garlic, leeks, shallots",Protein: 2 grams,What they are: vegetables,,,
y,y,,,,,,,,,,,,,,,,,,y,y,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,y,,y,y,,,"SPROUTS—IN GENERAL, or MIXED","apples and apple juice

avocado

breads, whole-grain, e.g., whole-wheat

cabbage, e.g., green, red

carrots

cheese, e.g., blue, cottage, Monterey Jack

citrus

cucumbers

garlic

greens, e.g., mesclun, salad

lemon, e.g., juice, zest

lettuce, e.g., romaine

mint

oil, e.g., olive

onions

parsley

radishes

raisins

SALADS, e.g., egg, green

SANDWICHES

sesame seeds

soy sauce

tahini

tomatoes

vinegar, e.g., balsamic, rice",,,"Techniques: raw, or very lightly cooked, e.g., steamed",,,"Tip: Always buy sprouts from a trusted source, e.g., a respected farmers’ market provider, especially if you choose to eat them raw.",,"Flavor Affinities


sprouts + avocado + bread + carrots + cucumber + onions + tahini",,,,,,"What they are: edible shoots of germinated beans, grains, or seeds (typically crunchy)",,,
y,y,,,,,,,,y,,,y,,,,,,,y,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,y,,y,,y,y,"ALLIUMS (see GARLIC, LEEKS, ONIONS, etc.)",,,,,,,,,,,,,,,,,,
