ingredient,phonetic,flavor,techniques,dishes,pairs_with,volume,tip,possible_substitute,nutritional_profile,Calories,season,botanical_relatives,protein,what_they_are,brands
AÇAI,[ah-sah-EE],"Flavor: sour/bitter; with earthy notes of berries (e.g., blackberries, blueberries and/or raspberries) and/or chocolate","Techniques: dry, juice, raw","Dishes


Açai Sunset Smoothie: Açai Berry, Banana, Strawberry, Orange Juice, Mango, Pineapple, Lime

—Pomegranate Café (Phoenix)



Deep Purple Smoothie: Açai Berry, Raspberry, Blueberry, Strawberry, Banana, Goji Berry, Pomegranate Juice

—Pomegranate Café (Phoenix)



Açai Bowl: Sambazon Açai Berry, Granola, Bananas, Berries, Drizzled Agave Nectar

—Real Food Daily (Los Angeles)","agave nectar

bananas

berries

cassava

desserts, e.g., cheesecake, ice cream, sorbet

drinks, e.g., cocktails, lemonade

granola

ice cream

jellies

juices

pomegranates

raspberries

SMOOTHIES

sorbets

South American cuisine

yogurt",,,,,,,,,,
ACHIOTE SEEDS (aka ANNATO SEEDS),,Flavor Affinities,,,"beans

Caribbean cuisine

cheese

chiles, e.g., habanero, jalapeño

cilantro

citrus, e.g., sour orange

cloves

coriander

cumin

garlic

gravies

Latin American cuisines

lime

marinades

MEXICAN CUISINE

oil, e.g., corn, olive, vegetable

onions

ORANGES and SOUR ORANGES, e.g., juice

oregano

pastes

pepper, black

polenta

potatoes

Puerto Rican cuisine

RICE

sauces

seitan

sofritos

soups

South American cuisines

squash, winter, e.g., butternut

stews

tacos

tofu

tomatoes

vinegar, e.g., wine

yuca",Volume: moderate–loud,Tip: Used as much for its (yellow/orange) coloring as for its flavor,Possible substitutes: saffron (for color),,,,,,,
AFRICAN CUISINES (see also ETHIOPIAN CUISINE and MOROCCAN CUISINE),[AH-gahr or AG-er AG-er],Flavor Affinities,,,"bananas

beans

bell peppers

black-eyed peas

braised dishes

cabbage

coconut

curries

fruit, tropical, e.g., pineapple

garlic

grains, e.g., millet, teff

greens, e.g., stewed

lentils

okra

peanuts and peanut butter

plantains

salad dressings, e.g., peanut

salads, e.g., bean, lentil

sauces, e.g., peanut

soups, e.g., bean, black-eyed pea,

peanut, yam

stews, e.g., peanut, vegetable

sweet potatoes

tomatoes

yams, esp. west African",Volume: extremely quiet,"Tips: To gel, use about 2–3 teaspoons of agar powder (or 2–3 tablespoons of agar flakes) per 1 cup of boiling liquid. Unlike regular gelatin (which requires refrigeration), agar can gel at room temperature in about an hour (although it will gel twice as fast in the refrigerator). Substitute agar powder for the same amount of gelatin in recipes. Avoid raw mangoes, papayas, pineapple (whose enzymes won’t let agar set); cook these fruits first if you’d like to gel them.",Possible substitute: gelatin,Nutritional profile: 94% carbs / 5% protein / 1% fat,Calories: 0 per 1-tablespoon serving,,,,,
AGAVE NECTAR,[ah-GAH-vay NECK-ter],"Flavor: sweet, with notes of caramel, fruit, honey, and/or maple syrup",,,"apples

baked goods, e.g., breads

cereals, hot breakfast

cheese, e.g., goat

cinnamon

cocktails, e.g., tequila-based

desserts, e.g., fruit

drinks

fruits

ice cream

pancakes, as a topping (esp. amber or dark)

pears

pumpkin (esp. amber or dark)

salad dressings

sauces, e.g., barbecue, caramel

smoothies

squash, winter (esp. amber or dark)

waffles, as a topping (esp. amber or dark)",Volume: quiet (light)–moderate (amber or dark),"Tips: Agave is sweeter than sugar, so you can use less. Because baked goods made with agave may brown more quickly, lower oven temperature by 25°F and slightly extend baking time.",,Nutritional profile: 100% carbs,Calories: 20 per teaspoon,,,,,
"ALLIUMS (see GARLIC, LEEKS, ONIONS, etc.)",,,,,,,,,,,,,,,
ALLSPICE,,Flavor Affinities,,,"BAKED GOODS, e.g., cakes, cookies

beans, e.g., baked beans, black

beets

berbere, the Ethiopian spice blend

beverages, e.g., chai, cocoa

Caribbean cuisine, e.g., jerk seasoning

carrots

chiles, e.g., habanero

chocolate

cinnamon

cloves

coconut

compotes, fruit

cucumbers

cumin

curry powder, e.g., Indian, Jamaican; and curries, e.g., Caribbean

desserts, e.g., crumbles

English cuisine

Ethiopian cuisine

fruits, e.g., apples, bananas, mangoes, peaches, pears, pineapple

ginger

grains, e.g., quinoa

gravies, e.g., mushroom

ice cream

Indian cuisine

JAMAICAN CUISINE, e.g., jerk dishes

ketchup

marinades

Mexican cuisine

Middle Eastern cuisines

Moroccan cuisine

nutmeg

nuts, e.g., pecans

oats

onions

pepper, black

pickled vegetables, e.g., broccoli, cauliflower, cucumber, green beans

pies, e.g., apple, fruit

pilafs

puddings

pumpkin

punch

ras el hanout

rum

salad dressings

sauces, e.g., barbecue, jerk, mole

soups, e.g., fruit, tomato

squash, winter, e.g., kabocha

stews

sugar

sweet potatoes

tamarind

teas

vegetables, esp. root

vinegar, e.g., apple cider, red wine

wine, mulled",Volume: loud,Tip: Add early in cooking process.,,,,Season: autumn–winter,Botanical relatives: cloves,,,
"ALMONDS (and UNSWEETENED ALMOND BUTTER; see also MILK, ALMOND)",,Flavor Affinities,,"Dishes


Almond Olive Oil Cake with Blackberries and Greek Yogurt

—True Food Kitchen (Santa Monica)","amaretto

anise

apples

apricots

arugula

baked goods, e.g., cookies, pie crusts, quick breads

bananas

barley

beans, green, e.g., French

bell peppers, e.g., red or yellow, esp. roasted

BERRIES, e.g., blackberries, blueberries, strawberries

beverages, e.g., chocolate

biryanis

brandy

bread/toast, seven-grain

broccoli

Brussels sprouts

bulgur

butter

cabbage, napa

candies

caramel

caraway seeds

cardamom

carrots

cauliflower

cayenne

celery

celery root

cheese, e.g., blue, cream, goat, manchego, ricotta, Romano, Stilton

CHERRIES

chiles, e.g., ancho, and chili powder

CHOCOLATE / COCOA /

CACAO NIBS

chocolate, e.g., dark, milk, white

cinnamon

citrus

coconut

coffee

cornmeal

couscous

cranberries

cream

cumin

currants, e.g., black

curries

DATES

desserts, e.g., mousses, puddings

dips

figs

FRUITS, e.g., dried, fresh, roasted

GARLIC

ginger

granola

grapes

greens, e.g., bitter, salad

hazelnuts

hiziki

HONEY

ice cream

icings, e.g., for cakes, cupcakes, etc.

Indian cuisine

kale

lavender

leeks

LEMON, e.g., juice, zest

lime, e.g., juice, zest

liqueurs, fruit (e.g., orange)

MAPLE SYRUP

mascarpone

Mediterranean cuisines

Middle Eastern cuisines

milk

molasses

Moroccan cuisine

muesli

mushrooms, e.g., chanterelle, portobello

mustard powder

nectarines

noodles, soba

nuts, other, e.g., walnuts

oats and oatmeal

oil, e.g., olive

olives

onions, e.g., red

ORANGE, e.g., juice, zest

paprika

passion fruit

PEACHES

pears

pecans

pepper, e.g., black

“pestos”

pilafs

pine nuts

pistachios

plums, e.g., dried, fresh

polenta

praline

quinces

raisins

raspberries

rhubarb

RICE, e.g., sweet

rose water

rosemary

rum

salads

salt, e.g., kosher, sea

SAUCES, e.g., mole, romesco

sesame, e.g., seeds

sherry

smoothies

soups, e.g., white gazpacho

soy sauce

Spanish cuisine

spiced almonds

spinach

spreads

strawberries

stuffings

sugar, e.g., brown

thyme

tofu

tomatoes

trail mix

Turkish cuisine

VANILLA

vinegar, e.g., champagne, sherry

watercress

yogurt

zucchini",Volume: quiet,"Tips: Buy organic almonds. Toast almonds to bring out their flavor and crunchiness. Almonds are arguably the most versatile nut, and they pair well with a great number of ingredients.",,Nutritional profile: 72% fat / 15% carbs / 13% protein,Calories: 165 per 1-ounce serving (about 20–25 whole almonds),,"Botanical relatives: apricots, cherries, nectarines, peaches, plums",Protein: 6 grams,,
"ALMONDS, MARCONA",,Flavor Affinities,"Techniques: fry, raw",,"baked goods

beans, e.g., green

beets

cheeses, e.g., manchego

chickpeas

dates

desserts

figs

garlic

honey, e.g., orange blossom

lemon

maple syrup

oil, e.g., olive, sunflower

paprika, smoked

parsnips

quince paste

rosemary

salads, e.g., green, vegetable

salt

Spanish cuisine

squash, summer and winter

thyme

vegetables, root

vinegar, sherry",,"Tip: Marcona almonds are richer, softer, and sweeter than California almonds.",,,Calories: 180 per 1-ounce serving,,,,What they are: almonds from Spain,
"AMARANTH (THE GRAIN) (see also GREENS, AMARANTH)",,Flavor Affinities,"Techniques: pop, simmer, sprout, steam",,"almonds

apples and apple juice

baked goods, e.g., breads, cookies

beans, e.g., black, cannellini, pinto

blueberries

cabbage

cardamom

casseroles

CEREALS, e.g., hot breakfast

chia seeds

chickpeas

chili

chocolate, dark

cinnamon

corn

garlic

ginger

GRAINS, OTHER MILDER, e.g., buckwheat, bulgur, millet, quinoa, rice, wild rice

greens

honey

lemon

maple syrup

Mexican cuisine

milk

oil, e.g., olive

onions

orange, e.g., juice, zest

parsley

persimmons

pistachios

“polenta”

“popcorn”

porridges

puddings

raisins

salads, when popped or sprouted

scallions

SOUPS, e.g., bean, clear (used as a thickener or as a garnish when popped)

South American cuisines

soy sauce

spinach

stews

stock, vegetable

tamari

tomatoes, e.g., stuffed

veggie burgers

walnuts

yams

yogurt",Volume: quiet–moderate,"Tips: Toast lightly before cooking. If toasted long enough, grains will pop like popcorn and can be enjoyed as a snack or as a garnish on salads or vegetables.","Possible substitutes: cornmeal, polenta",Nutritional profile: 74% carbs / 13% protein / 13% fat,Calories: 250 per 1-cup serving (cooked),,,Protein: 9 grams,,"Brands: Bob’s Red Mill, Hodgson Mill"
"AMERICAN CUISINE (see also CAJUN/CREOLE CUISINE, SOUTHERN CUISINE, TEX-MEX CUISINE, etc.)",,Flavor Affinities,,,"beans

blueberries

chives

corn

cranberries

grapes, Concord

maple syrup

peanuts

pecans

popcorn

pumpkin and pumpkin seeds

rice, wild

squash

sunflower seeds

vinegar, apple cider

walnuts",,,,,,,,,,
